songName,artistName,genreName,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo
Collage Pt. 3 Rush Hour,The Alchemist,alternative hip hop,0.0102,0.727,0.826,0.915,0.35,-8.435,0.0479,127.577
Collage Pt. 4 Sunset,The Alchemist,alternative hip hop,0.621,0.601,0.625,0.439,0.667,-9.117,0.124,74.384
Chetzi,The Alchemist,alternative hip hop,0.000412,0.539,0.862,0.149,0.667,-9.745,0.123,79.887
The Type,The Alchemist,alternative hip hop,0.181,0.578,0.426,0.761,0.099,-11.39,0.292,163.515
Turn This Sh*t Up Pt. 1,The Alchemist,alternative hip hop,0.209,0.582,0.572,0.649,0.849,-9.118,0.0358,84.971
Turn This Sh*t Up Pt. 2,The Alchemist,alternative hip hop,0.014,0.613,0.465,0.822,0.782,-10.658,0.109,162.109
Zaatar Smoke,The Alchemist,alternative hip hop,0.00101,0.486,0.656,0.82,0.217,-7.057,0.0425,165.978
Shalom Alechem,The Alchemist,alternative hip hop,0.0225,0.531,0.519,0.673,0.714,-6.34,0.0288,81.033
Matzik,The Alchemist,alternative hip hop,0.031,0.644,0.262,0.0899,0.696,-16.862,0.416,89.798
Yala Yala,The Alchemist,alternative hip hop,0.201,0.629,0.64,0.936,0.269,-9.278,0.0497,82.014
Meduza,The Alchemist,alternative hip hop,0.578,0.394,0.661,0.908,0.24,-11.633,0.0652,98.933
Listen To Yitzhak,The Alchemist,alternative hip hop,0.554,0.336,0.453,0.501,0.811,-13.113,0.0453,80.528
Bold,The Alchemist,alternative hip hop,0.000192,0.472,0.547,0.911,0.394,-9.689,0.039,78.021
Tunnel Rat,The Alchemist,alternative hip hop,0.831,0.419,0.39,0.0442,0.34,-15.246,0.0394,84.839
Yehudi El Yehudi,The Alchemist,alternative hip hop,0.072,0.473,0.745,0.459,0.493,-7.717,0.159,79.506
Departure,The Alchemist,alternative hip hop,0.0131,0.583,0.578,0.944,0.121,-8.782,0.0505,78.99
Dean Martin Steaks ,The Alchemist,alternative hip hop,0.891,0.492,0.746,0.000355,0.431,-8.854,0.411,79.533
Judas ,The Alchemist,alternative hip hop,0.271,0.467,0.8,0,0.56,-6.815,0.57,146.201
The Hopeless Romantic ,The Alchemist,alternative hip hop,0.581,0.528,0.532,0,0.249,-5.572,0.15,81.027
Massacre ,The Alchemist,alternative hip hop,0.822,0.583,0.59,0,0.119,-8.45,0.146,80.399
Big Syke ,The Alchemist,alternative hip hop,0.763,0.51,0.371,0.000517,0.11,-8.101,0.0783,106.686
Ray Mysterio ,The Alchemist,alternative hip hop,0.603,0.716,0.794,0,0.316,-6.043,0.283,132.175
Roman Candles ,The Alchemist,alternative hip hop,0.119,0.548,0.718,0,0.0822,-7.067,0.112,90.766
Mac 10 Wounds ,The Alchemist,alternative hip hop,0.0935,0.442,0.808,0,0.496,-7.074,0.371,156.174
E. Coli ,The Alchemist,alternative hip hop,0.237,0.295,0.559,0.00371,0.31,-8.744,0.189,88.702
Clip In A Tray ,The Alchemist,alternative hip hop,0.0384,0.694,0.4,0.00362,0.223,-10.144,0.0694,116.928
Intro,The Alchemist,alternative hip hop,0.408,0.469,0.963,0.0000141,0.718,-5.825,0.686,81.252
Dead Bodies,The Alchemist,alternative hip hop,0.482,0.663,0.677,0,0.746,-5.125,0.359,89.644
Your Boy Al,The Alchemist,alternative hip hop,0.77,0.666,0.299,0.0384,0.202,-8.653,0.0373,97.183
Essence,The Alchemist,alternative hip hop,0.0457,0.528,0.682,0,0.485,-8.613,0.419,110.037
Hold You Down,The Alchemist,alternative hip hop,0.174,0.756,0.67,0,0.134,-8.594,0.27,90.856
Industry Rule 4080,The Alchemist,alternative hip hop,0.857,0.586,0.392,0,0.604,-13.815,0.925,84.293
